,cell,lon,lat,month,decend,sum,geometry
47,12,-51.125,-9.875,10,3,70.54434712727864,POINT (-5691208.966806111 -1104763.084013848)
48,13,-50.875,-9.875,9,1,9.494007216559517,POINT (-5663379.094107794 -1104763.084013848)
49,13,-50.875,-9.875,9,2,16.26459725697835,POINT (-5663379.094107794 -1104763.084013848)
50,13,-50.875,-9.875,9,3,26.091203689575195,POINT (-5663379.094107794 -1104763.084013848)
51,13,-50.875,-9.875,10,1,39.91068691677518,POINT (-5663379.094107794 -1104763.084013848)
52,13,-50.875,-9.875,10,2,46.29480383131239,POINT (-5663379.094107794 -1104763.084013848)
53,13,-50.875,-9.875,10,3,69.2230560514662,POINT (-5663379.094107794 -1104763.084013848)
54,14,-50.625,-9.875,9,1,9.59065670437283,POINT (-5635549.221409474 -1104763.084013848)
55,14,-50.625,-9.875,9,2,16.26939943101671,POINT (-5635549.221409474 -1104763.084013848)
56,14,-50.625,-9.875,9,3,25.248123592800564,POINT (-5635549.221409474 -1104763.084013848)
57,14,-50.625,-9.875,10,1,40.01951519648234,POINT (-5635549.221409474 -1104763.084013848)
58,14,-50.625,-9.875,10,2,47.93165418836806,POINT (-5635549.221409474 -1104763.084013848)
59,14,-50.625,-9.875,10,3,68.09592956966824,POINT (-5635549.221409474 -1104763.084013848)
60,15,-58.125,-7.375,9,1,26.80565293629964,POINT (-6470445.402359026 -823257.7286162497)
61,15,-58.125,-7.375,9,2,31.071396509806316,POINT (-6470445.402359026 -823257.7286162497)
62,15,-58.125,-7.375,9,3,45.74727949831221,POINT (-6470445.402359026 -823257.7286162497)
63,15,-58.125,-7.375,10,1,48.80681006113688,POINT (-6470445.402359026 -823257.7286162497)
64,15,-58.125,-7.375,10,2,55.478922314114044,POINT (-6470445.402359026 -823257.7286162497)
65,15,-58.125,-7.375,10,3,66.36148113674588,POINT (-6470445.402359026 -823257.7286162497)
66,15,-50.375,-9.875,9,1,9.301860067579481,POINT (-5607719.348711156 -1104763.084013848)
67,15,-50.375,-9.875,9,2,16.142209066285027,POINT (-5607719.348711156 -1104763.084013848)
68,15,-50.375,-9.875,9,3,24.94661585489909,POINT (-5607719.348711156 -1104763.084013848)
69,15,-50.375,-9.875,10,1,39.8444947136773,POINT (-5607719.348711156 -1104763.084013848)
70,15,-50.375,-9.875,10,2,46.068480809529625,POINT (-5607719.348711156 -1104763.084013848)
71,15,-50.375,-9.875,10,3,69.96168030632867,POINT (-5607719.348711156 -1104763.084013848)
72,16,-57.875,-7.375,9,1,25.528941101498074,POINT (-6442615.529660708 -823257.7286162497)
73,16,-57.875,-7.375,9,2,31.2953745259179,POINT (-6442615.529660708 -823257.7286162497)
74,16,-57.875,-7.375,9,3,43.646392610338,POINT (-6442615.529660708 -823257.7286162497)
75,16,-57.875,-7.375,10,1,49.02885988023546,POINT (-6442615.529660708 -823257.7286162497)
76,16,-57.875,-7.375,10,2,53.98479906717936,POINT (-6442615.529660708 -823257.7286162497)
77,16,-57.875,-7.375,10,3,66.1521593729655,POINT (-6442615.529660708 -823257.7286162497)
78,19,-53.125,-10.125,9,1,13.078375339508057,POINT (-5913847.948392658 -1133022.301168405)
79,19,-53.125,-10.125,9,2,28.298296398586697,POINT (-5913847.948392658 -1133022.301168405)
80,19,-53.125,-10.125,9,3,37.871807204352486,POINT (-5913847.948392658 -1133022.301168405)
81,19,-53.125,-10.125,10,1,47.193305280473496,POINT (-5913847.948392658 -1133022.301168405)
82,19,-53.125,-10.125,10,2,56.36150056786008,POINT (-5913847.948392658 -1133022.301168405)
83,19,-53.125,-10.125,10,3,72.15938776069217,POINT (-5913847.948392658 -1133022.301168405)
84,20,-52.875,-10.125,9,1,14.13856675889757,POINT (-5886018.07569434 -1133022.301168405)
85,20,-52.875,-10.125,9,2,28.302167150709366,POINT (-5886018.07569434 -1133022.301168405)
86,20,-52.875,-10.125,9,3,36.681114196777344,POINT (-5886018.07569434 -1133022.301168405)
87,20,-52.875,-10.125,10,1,48.94306670294868,POINT (-5886018.07569434 -1133022.301168405)
88,20,-52.875,-10.125,10,2,54.92839166853163,POINT (-5886018.07569434 -1133022.301168405)
89,20,-52.875,-10.125,10,3,76.34158620569441,POINT (-5886018.07569434 -1133022.301168405)
90,21,-52.625,-10.125,9,1,14.036616855197483,POINT (-5858188.202996022 -1133022.301168405)
91,21,-52.625,-10.125,9,2,28.375860419538284,POINT (-5858188.202996022 -1133022.301168405)
92,21,-52.625,-10.125,9,3,36.401083654827545,POINT (-5858188.202996022 -1133022.301168405)
93,21,-52.625,-10.125,10,1,49.39434814453125,POINT (-5858188.202996022 -1133022.301168405)
94,21,-52.625,-10.125,10,2,54.82560165723165,POINT (-5858188.202996022 -1133022.301168405)
95,21,-52.625,-10.125,10,3,78.47600650787354,POINT (-5858188.202996022 -1133022.301168405)
96,22,-52.375,-10.125,9,1,13.680786927541098,POINT (-5830358.330297703 -1133022.301168405)
97,22,-52.375,-10.125,9,2,27.282323625352646,POINT (-5830358.330297703 -1133022.301168405)
98,22,-52.375,-10.125,9,3,35.86046531465318,POINT (-5830358.330297703 -1133022.301168405)
99,22,-52.375,-10.125,10,1,47.497823291354706,POINT (-5830358.330297703 -1133022.301168405)
