,year,sum,month,decend,dummy,hcl,hcl_ord
34,2014,20.701557193721804,10,2,1,0,0
35,2015,17.700441268059638,10,2,1,0,0
0,1980,43.425674619970025,10,3,1,0,0
1,1981,76.61139913110227,10,3,1,1,1
2,1982,45.256339264201834,10,3,1,0,0
3,1983,79.56743239594267,10,3,1,1,1
4,1984,112.37226762590589,10,3,1,2,2
5,1985,96.32973725979144,10,3,1,2,2
6,1986,42.55780670287964,10,3,1,0,0
7,1987,61.78590095817269,10,3,1,1,1
8,1988,61.5171230603884,10,3,1,1,1
9,1989,79.07268830469914,10,3,1,1,1
10,1990,55.404792111117644,10,3,1,1,1
11,1991,70.5172995368203,10,3,1,1,1
12,1992,72.95328283357573,10,3,1,1,1
13,1993,74.43579621510311,10,3,1,1,1
14,1994,75.01672936533834,10,3,1,1,1
15,1995,38.54998309700401,10,3,1,0,0
16,1996,67.23157310009479,10,3,1,1,1
17,1997,73.50875078024087,10,3,1,1,1
18,1998,83.3323315268868,10,3,1,1,1
19,1999,87.45967021355263,10,3,1,1,1
20,2000,77.96669718125959,10,3,1,1,1
21,2001,37.24026571263324,10,3,1,0,0
22,2002,69.61271285343837,10,3,1,1,1
23,2003,75.2573594913616,10,3,1,1,1
24,2004,81.19363793555078,10,3,1,1,1
25,2005,54.93437682998764,10,3,1,1,1
26,2006,83.99513193467756,10,3,1,1,1
27,2007,60.195242743630274,10,3,1,1,1
28,2008,60.54023990859757,10,3,1,1,1
29,2009,63.99795384888168,10,3,1,1,1
30,2010,65.39409206725739,10,3,1,1,1
31,2011,67.98592665288355,10,3,1,1,1
32,2012,38.42323367864817,10,3,1,0,0
33,2013,69.10992296401794,10,3,1,1,1
34,2014,80.4362970960962,10,3,1,1,1
35,2015,53.156626478418126,10,3,1,1,1
